start,stop,diff
21:03:43.438236,21:03:43.464443,26207
21:03:43.438236,21:03:43.464675,26439
21:03:43.438236,21:03:43.464677,26441
21:03:43.438236,21:03:43.464771,26535
21:03:43.438236,21:03:43.464819,26583
21:03:43.438236,21:03:43.464819,26583
21:03:43.438236,21:03:43.464938,26702
21:03:43.438236,21:03:43.464938,26702
21:03:43.438236,21:03:43.465133,26897
21:03:43.438236,21:03:43.465140,26904
21:03:43.438236,21:03:43.465180,26944
21:03:43.438236,21:03:43.465262,27026
21:03:43.438236,21:03:43.465262,27026
21:03:43.438236,21:03:43.465403,27167
21:03:43.438236,21:03:43.465403,27167
21:03:43.438236,21:03:43.465610,27374
21:03:43.438236,21:03:43.465614,27378
21:03:43.438236,21:03:43.465614,27378
21:03:43.438236,21:03:43.465691,27455
21:03:43.438236,21:03:43.465694,27458
21:03:43.438236,21:03:43.465906,27670
21:03:43.438236,21:03:43.465906,27670
21:03:43.438236,21:03:43.466062,27826
21:03:43.438236,21:03:43.466093,27857
21:03:43.438236,21:03:43.466103,27867
21:03:43.438236,21:03:43.466112,27876
21:03:43.438236,21:03:43.466116,27880
21:03:43.438236,21:03:43.466408,28172
21:03:43.438236,21:03:43.466408,28172
21:03:43.438236,21:03:43.466502,28266
21:03:43.438236,21:03:43.466545,28309
21:03:43.438236,21:03:43.466545,28309
21:03:43.438236,21:03:43.466574,28338
21:03:43.438236,21:03:43.466622,28386
21:03:43.438236,21:03:43.466881,28645
21:03:43.438236,21:03:43.466881,28645
21:03:43.438236,21:03:43.466908,28672
21:03:43.438236,21:03:43.467009,28773
21:03:43.438236,21:03:43.467012,28776
21:03:43.438236,21:03:43.467055,28819
21:03:43.438236,21:03:43.467055,28819
21:03:43.438236,21:03:43.467313,29077
21:03:43.438236,21:03:43.467359,29123
21:03:43.438236,21:03:43.467359,29123
21:03:43.438236,21:03:43.467465,29229
21:03:43.438236,21:03:43.467468,29232
21:03:43.438236,21:03:43.467494,29258
21:03:43.438236,21:03:43.467494,29258
21:03:43.438236,21:03:43.467716,29480
21:03:43.438236,21:03:43.467849,29613
21:03:43.438236,21:03:43.467849,29613
21:03:43.438236,21:03:43.467918,29682
21:03:43.438236,21:03:43.467918,29682
21:03:43.438236,21:03:43.467930,29694
21:03:43.438236,21:03:43.467936,29700
21:03:43.438236,21:03:43.468156,29920
21:03:43.438236,21:03:43.468344,30108
21:03:43.438236,21:03:43.468344,30108
21:03:43.438236,21:03:43.468356,30120
21:03:43.438236,21:03:43.468360,30124
21:03:43.438236,21:03:43.468436,30200
21:03:43.438236,21:03:43.468436,30200
21:03:43.438236,21:03:43.468567,30331
21:03:43.438236,21:03:43.468821,30585
21:03:43.438236,21:03:43.468837,30601
21:03:43.438236,21:03:43.468845,30609
21:03:43.438236,21:03:43.468845,30609
21:03:43.438236,21:03:43.468896,30660
21:03:43.438236,21:03:43.468896,30660
21:03:43.438236,21:03:43.468969,30733
21:03:43.438236,21:03:43.469238,31002
21:03:43.438236,21:03:43.469243,31007
21:03:43.438236,21:03:43.469319,31083
21:03:43.438236,21:03:43.469319,31083
21:03:43.438236,21:03:43.469349,31113
21:03:43.438236,21:03:43.469349,31113
21:03:43.438236,21:03:43.469368,31132
21:03:43.438236,21:03:43.469649,31413
21:03:43.438236,21:03:43.469654,31418
21:03:43.438236,21:03:43.469789,31553
21:03:43.438236,21:03:43.469797,31561
21:03:43.438236,21:03:43.469797,31561
21:03:43.438236,21:03:43.469804,31568
21:03:43.438236,21:03:43.469814,31578
21:03:43.438236,21:03:43.470061,31825
21:03:43.438236,21:03:43.470061,31825
21:03:43.438236,21:03:43.470216,31980
21:03:43.438236,21:03:43.470277,32041
21:03:43.438236,21:03:43.470277,32041
21:03:43.438236,21:03:43.470303,32067
21:03:43.438236,21:03:43.470508,32272
21:03:43.438236,21:03:43.470508,32272
21:03:43.438236,21:03:43.470643,32407
21:03:43.438236,21:03:43.470651,32415
21:03:43.438236,21:03:43.470689,32453
21:03:43.438236,21:03:43.470761,32525
21:03:43.438236,21:03:43.470761,32525
21:03:43.438236,21:03:43.470848,32612
21:03:43.438236,21:03:43.470848,32612
21:03:43.438236,21:03:43.471009,32773
21:03:43.438236,21:03:43.471065,32829
21:03:43.438236,21:03:43.471098,32862
21:03:43.438236,21:03:43.471127,32891
21:03:43.438236,21:03:43.471254,33018
21:03:43.438236,21:03:43.471274,33038
21:03:43.438236,21:03:43.471274,33038
21:03:43.438236,21:03:43.471413,33177
21:03:43.438236,21:03:43.471464,33228
21:03:43.438236,21:03:43.471561,33325
21:03:43.438236,21:03:43.471637,33401
21:03:43.438236,21:03:43.471700,33464
21:03:43.438236,21:03:43.471779,33543
21:03:43.438236,21:03:43.471780,33544
21:03:43.438236,21:03:43.471811,33575
21:03:43.438236,21:03:43.471872,33636
21:03:43.438236,21:03:43.472170,33934
21:03:43.438236,21:03:43.472170,33934
21:03:43.438236,21:03:43.472229,33993
21:03:43.438236,21:03:43.472298,34062
21:03:43.438236,21:03:43.472309,34073
21:03:43.438236,21:03:43.472393,34157
21:03:43.438236,21:03:43.472567,34331
21:03:43.438236,21:03:43.548030,109794
21:03:43.438236,21:03:43.548063,109827
21:03:43.438236,21:03:43.548427,110191
21:03:43.438236,21:03:43.548511,110275
21:03:43.438236,21:03:43.548538,110302
21:03:43.438236,21:03:43.548659,110423
21:03:43.438236,21:03:43.548905,110669
21:03:43.438236,21:03:43.548905,110669
21:03:43.438236,21:03:43.548927,110691
21:03:43.438236,21:03:43.549150,110914
21:03:43.438236,21:03:43.549179,110943
21:03:43.438236,21:03:43.549328,111092
21:03:43.438236,21:03:43.549385,111149
21:03:43.438236,21:03:43.549385,111149
21:03:43.438236,21:03:43.549585,111349
21:03:43.438236,21:03:43.549585,111349
21:03:43.438236,21:03:43.549659,111423
21:03:43.438236,21:03:43.549713,111477
21:03:43.438236,21:03:43.549800,111564
21:03:43.438236,21:03:43.549800,111564
21:03:43.438236,21:03:43.549956,111720
21:03:43.438236,21:03:43.549956,111720
21:03:43.438236,21:03:43.549994,111758
21:03:43.438236,21:03:43.549994,111758
21:03:43.438236,21:03:43.550040,111804
21:03:43.438236,21:03:43.550059,111823
21:03:43.438236,21:03:43.550199,111963
21:03:43.438236,21:03:43.550199,111963
21:03:43.438236,21:03:43.550403,112167
21:03:43.438236,21:03:43.550403,112167
21:03:43.438236,21:03:43.550428,112192
21:03:43.438236,21:03:43.550471,112235
21:03:43.438236,21:03:43.550539,112303
21:03:43.438236,21:03:43.550556,112320
21:03:43.438236,21:03:43.550670,112434
21:03:43.438236,21:03:43.550670,112434
21:03:43.438236,21:03:43.550833,112597
21:03:43.438236,21:03:43.550833,112597
21:03:43.438236,21:03:43.550866,112630
21:03:43.438236,21:03:43.550881,112645
21:03:43.438236,21:03:43.550934,112698
21:03:43.438236,21:03:43.550988,112752
21:03:43.438236,21:03:43.551015,112779
21:03:43.438236,21:03:43.551044,112808
21:03:43.438236,21:03:43.551124,112888
21:03:43.438236,21:03:43.551123,112887
21:03:43.438236,21:03:43.551155,112919
21:03:43.438236,21:03:43.551155,112919
21:03:43.438236,21:03:43.551229,112993
21:03:43.438236,21:03:43.551280,113044
21:03:43.438236,21:03:43.551307,113071
21:03:43.438236,21:03:43.551307,113071
21:03:43.438236,21:03:43.551413,113177
21:03:43.438236,21:03:43.551447,113211
21:03:43.438236,21:03:43.551522,113286
21:03:43.438236,21:03:43.551522,113286
21:03:43.438236,21:03:43.551531,113295
21:03:43.438236,21:03:43.551531,113295
21:03:43.438236,21:03:43.551645,113409
21:03:43.438236,21:03:43.551647,113411
21:03:43.438236,21:03:43.551724,113488
21:03:43.438236,21:03:43.551758,113522
21:03:43.438236,21:03:43.551808,113572
21:03:43.438236,21:03:43.551816,113580
21:03:43.438236,21:03:43.551859,113623
21:03:43.438236,21:03:43.551859,113623
21:03:43.438236,21:03:43.551953,113717
21:03:43.438236,21:03:43.551962,113726
21:03:43.438236,21:03:43.552046,113810
21:03:43.438236,21:03:43.552053,113817
21:03:43.438236,21:03:43.552073,113837
21:03:43.438236,21:03:43.552073,113837
21:03:43.438236,21:03:43.552162,113926
21:03:43.438236,21:03:43.552168,113932
21:03:43.689878,21:03:43.692302,2424
21:03:43.689878,21:03:43.692302,2424
21:03:43.689878,21:03:43.692302,2424
21:03:43.689878,21:03:43.692302,2424
21:03:43.689878,21:03:43.692306,2428
21:03:43.689878,21:03:43.692317,2439
21:03:43.689878,21:03:43.692317,2439
21:03:43.689878,21:03:43.692519,2641
21:03:43.689878,21:03:43.692519,2641
21:03:43.689878,21:03:43.692546,2668
21:03:43.689878,21:03:43.692546,2668
21:03:43.689878,21:03:43.692548,2670
21:03:43.689878,21:03:43.692551,2673
21:03:43.689878,21:03:43.692548,2670
21:03:43.689878,21:03:43.692730,2852
21:03:43.689878,21:03:43.692730,2852
21:03:43.689878,21:03:43.692757,2879
21:03:43.689878,21:03:43.692761,2883
21:03:43.689878,21:03:43.692777,2899
21:03:43.689878,21:03:43.692777,2899
21:03:43.689878,21:03:43.692779,2901
21:03:43.689878,21:03:43.692943,3065
21:03:43.689878,21:03:43.692970,3092
21:03:43.689878,21:03:43.692991,3113
21:03:43.689878,21:03:43.692996,3118
21:03:43.689878,21:03:43.693023,3145
21:03:43.689878,21:03:43.693023,3145
21:03:43.689878,21:03:43.693039,3161
21:03:43.689878,21:03:43.693114,3236
21:03:43.689878,21:03:43.693232,3354
21:03:43.689878,21:03:43.693236,3358
21:03:43.689878,21:03:43.693236,3358
21:03:43.689878,21:03:43.693237,3359
21:03:43.689878,21:03:43.693288,3410
21:03:43.689878,21:03:43.693291,3413
21:03:43.689878,21:03:43.693291,3413
21:03:43.689878,21:03:43.693345,3467
21:03:43.689878,21:03:43.693472,3594
21:03:43.689878,21:03:43.693472,3594
21:03:43.689878,21:03:43.693474,3596
21:03:43.689878,21:03:43.693474,3596
21:03:43.689878,21:03:43.693540,3662
21:03:43.689878,21:03:43.693544,3666
21:03:43.689878,21:03:43.693551,3673
21:03:43.689878,21:03:43.693551,3673
21:03:43.689878,21:03:43.693694,3816
21:03:43.689878,21:03:43.693694,3816
21:03:43.689878,21:03:43.693702,3824
21:03:43.689878,21:03:43.693702,3824
21:03:43.689878,21:03:43.693767,3889
21:03:43.689878,21:03:43.693767,3889
21:03:43.689878,21:03:43.693771,3893
21:03:43.689878,21:03:43.693776,3898
21:03:43.689878,21:03:43.693907,4029
21:03:43.689878,21:03:43.693907,4029
21:03:43.689878,21:03:43.693931,4053
21:03:43.689878,21:03:43.693936,4058
21:03:43.689878,21:03:43.693977,4099
21:03:43.689878,21:03:43.693977,4099
21:03:43.689878,21:03:43.693996,4118
21:03:43.689878,21:03:43.694000,4122
21:03:43.689878,21:03:43.694122,4244
21:03:43.689878,21:03:43.694122,4244
21:03:43.689878,21:03:43.694152,4274
21:03:43.689878,21:03:43.694152,4274
21:03:43.689878,21:03:43.694184,4306
21:03:43.689878,21:03:43.694184,4306
21:03:43.689878,21:03:43.694234,4356
21:03:43.689878,21:03:43.694330,4452
21:03:43.689878,21:03:43.694330,4452
21:03:43.689878,21:03:43.694365,4487
21:03:43.689878,21:03:43.694365,4487
21:03:43.689878,21:03:43.694384,4506
21:03:43.689878,21:03:43.694384,4506
21:03:43.689878,21:03:43.694463,4585
21:03:43.689878,21:03:43.694532,4654
21:03:43.689878,21:03:43.694532,4654
21:03:43.689878,21:03:43.694576,4698
21:03:43.689878,21:03:43.694576,4698
21:03:43.689878,21:03:43.694587,4709
21:03:43.689878,21:03:43.694587,4709
21:03:43.689878,21:03:43.694592,4714
21:03:43.689878,21:03:43.694696,4818
21:03:43.689878,21:03:43.694733,4855
21:03:43.689878,21:03:43.694733,4855
21:03:43.689878,21:03:43.694793,4915
21:03:43.689878,21:03:43.694793,4915
21:03:43.689878,21:03:43.694794,4916
21:03:43.689878,21:03:43.694794,4916
21:03:43.689878,21:03:43.694815,4937
21:03:43.689878,21:03:43.694907,5029
21:03:43.689878,21:03:43.694945,5067
21:03:43.689878,21:03:43.694950,5072
21:03:43.689878,21:03:43.695007,5129
21:03:43.689878,21:03:43.695007,5129
21:03:43.689878,21:03:43.695025,5147
21:03:43.689878,21:03:43.695031,5153
21:03:43.689878,21:03:43.695056,5178
21:03:43.689878,21:03:43.695124,5246
21:03:43.689878,21:03:43.695160,5282
21:03:43.689878,21:03:43.695160,5282
21:03:43.689878,21:03:43.695217,5339
21:03:43.689878,21:03:43.695217,5339
21:03:43.689878,21:03:43.695241,5363
21:03:43.689878,21:03:43.695241,5363
21:03:43.689878,21:03:43.695259,5381
21:03:43.689878,21:03:43.695351,5473
21:03:43.689878,21:03:43.695368,5490
21:03:43.689878,21:03:43.695368,5490
21:03:43.689878,21:03:43.695425,5547
21:03:43.689878,21:03:43.695425,5547
21:03:43.689878,21:03:43.695454,5576
21:03:43.689878,21:03:43.695454,5576
21:03:43.689878,21:03:43.695458,5580
21:03:43.689878,21:03:43.695570,5692
21:03:43.689878,21:03:43.695577,5699
21:03:43.689878,21:03:43.695577,5699
21:03:43.689878,21:03:43.695628,5750
21:03:43.689878,21:03:43.695628,5750
21:03:43.689878,21:03:43.695667,5789
21:03:43.689878,21:03:43.695675,5797
21:03:43.689878,21:03:43.695679,5801
21:03:43.689878,21:03:43.695788,5910
21:03:43.689878,21:03:43.695788,5910
21:03:43.689878,21:03:43.695830,5952
21:03:43.689878,21:03:43.695830,5952
21:03:43.689878,21:03:43.695895,6017
21:03:43.689878,21:03:43.695911,6033
21:03:43.689878,21:03:43.695990,6112
21:03:43.689878,21:03:43.695990,6112
21:03:43.689878,21:03:43.696026,6148
21:03:43.689878,21:03:43.696026,6148
21:03:43.689878,21:03:43.696071,6193
21:03:43.689878,21:03:43.696071,6193
21:03:43.689878,21:03:43.696140,6262
21:03:43.689878,21:03:43.696140,6262
21:03:43.689878,21:03:43.696210,6332
21:03:43.689878,21:03:43.696210,6332
21:03:43.689878,21:03:43.696248,6370
21:03:43.689878,21:03:43.696248,6370
21:03:43.689878,21:03:43.696308,6430
21:03:43.689878,21:03:43.696308,6430
21:03:43.689878,21:03:43.696351,6473
21:03:43.689878,21:03:43.696351,6473
21:03:43.689878,21:03:43.696412,6534
21:03:43.689878,21:03:43.696412,6534
21:03:43.689878,21:03:43.696446,6568
21:03:43.689878,21:03:43.696446,6568
21:03:43.689878,21:03:43.696522,6644
21:03:43.689878,21:03:43.696522,6644
21:03:43.689878,21:03:43.696571,6693
21:03:43.689878,21:03:43.696571,6693
21:03:43.689878,21:03:43.696628,6750
21:03:43.689878,21:03:43.696633,6755
21:03:43.689878,21:03:43.696658,6780
21:03:43.689878,21:03:43.696661,6783
21:03:43.689878,21:03:43.696757,6879
21:03:43.689878,21:03:43.696798,6920
21:03:43.689878,21:03:43.696803,6925
21:03:43.689878,21:03:43.696841,6963
21:03:43.689878,21:03:43.696841,6963
21:03:43.689878,21:03:43.696862,6984
21:03:43.689878,21:03:43.696867,6989
21:03:43.689878,21:03:43.696985,7107
21:03:43.689878,21:03:43.697013,7135
